Year,MVP
2017,"Russell Westbrook"
2016,"Stephen Curry"
2015,"Stephen Curry"
2014,"Kevin Durant"
2013,"LeBron James"
2012,"LeBron James"
2011,"Derrick Rose"
2010,"LeBron James"
2009,"LeBron James"
2008,"Kobe Bryant"
2007,"Dirk Nowitzki"
2006,"Steve Nash"
2005,"Steve Nash"
2004,"Kevin Garnett"
2003,"Tim Duncan"
2002,"Tim Duncan"
2001,"Allen Iverson"
2000,"Shaquille O'Neal"
1999,"Karl Malone"
1998,"Michael Jordan"
1997,"Karl Malone"
1996,"Michael Jordan"
1995,"David Robinson"
1994,"Hakeem Olajuwon"
1993,"Charles Barkley"
1992,"Michael Jordan"
1991,"Michael Jordan"
1990,"Magic Johnson"
1989,"Magic Johnson"
1988,"Michael Jordan"
1987,"Magic Johnson"
1986,"Larry Bird"
1985,"Larry Bird"
1984,"Larry Bird"
1983,"Moses Malone"
1982,"Moses Malone"
1981,"Julius Erving"
1980,"Kareem Abdul-Jabbar"
